wav_grid1,wav_grid2
7814.071436880132,7838.885055822747
7838.885055822747,7863.698674765363
7863.698674765363,7888.512293707979
7888.512293707979,7913.325912650595
7913.325912650595,7938.13953159321
7938.13953159321,7962.953150535825
7962.953150535825,7987.766769478441
7987.766769478441,8012.580388421056
8012.580388421056,8037.394007363672
8037.394007363672,8062.207626306288
8062.207626306288,8087.021245248902
8087.021245248902,8111.834864191518
8111.834864191518,8136.648483134135
8136.648483134135,8161.462102076751
8161.462102076751,8186.275721019367
8186.275721019367,8211.089339961982
8211.089339961982,8235.902958904597
8235.902958904597,8260.716577847214
8260.716577847214,8285.530196789829
8285.530196789829,8310.343815732444
8310.343815732444,8335.15743467506
8335.15743467506,8359.971053617675
8359.971053617675,8384.78467256029
8384.78467256029,8409.598291502907
8409.598291502907,8434.411910445522
8434.411910445522,8459.225529388139
8459.225529388139,8484.039148330754
8484.039148330754,8508.852767273369
8508.852767273369,8533.666386215986
8533.666386215986,8558.4800051586
8558.4800051586,8583.293624101216
8583.293624101216,8608.107243043833
8608.107243043833,8632.920861986448
8632.920861986448,8657.734480929063
8657.734480929063,8682.54809987168
8682.54809987168,8707.361718814294
8707.361718814294,8732.17533775691
8732.17533775691,8756.988956699526
8756.988956699526,8781.802575642141
8781.802575642141,8806.616194584756
8806.616194584756,8831.429813527373
8831.429813527373,8856.243432469988
8856.243432469988,8881.057051412605
8881.057051412605,8905.87067035522
8905.87067035522,8930.684289297835
8930.684289297835,8955.497908240452
8955.497908240452,8980.311527183067
8980.311527183067,9005.125146125682
9005.125146125682,9029.938765068298
9029.938765068298,9054.752384010912
9054.752384010912,9079.566002953528
9079.566002953528,9104.379621896143
9104.379621896143,9129.19324083876
9129.19324083876,9154.006859781375
9154.006859781375,9178.820478723992
9178.820478723992,9203.634097666607
9203.634097666607,9228.447716609222
9228.447716609222,9253.261335551839
9253.261335551839,9278.074954494454
9278.074954494454,9302.88857343707
9302.88857343707,9327.702192379686
9327.702192379686,9352.5158113223
9352.5158113223,9377.329430264916
9377.329430264916,9402.143049207532
9402.143049207532,9426.956668150147
9426.956668150147,9451.770287092764
9451.770287092764,9476.58390603538
9476.58390603538,9501.397524977994
9501.397524977994,9526.211143920611
9526.211143920611,9551.024762863226
9551.024762863226,9575.83838180584
9575.83838180584,9600.652000748458
9600.652000748458,9625.465619691071
9625.465619691071,9650.27923863369
9650.27923863369,9675.092857576305
9675.092857576305,9699.906476518921
9699.906476518921,9724.720095461536
9724.720095461536,9749.533714404151
9749.533714404151,9774.347333346766
9774.347333346766,9799.160952289383
9799.160952289383,9823.974571231998
9823.974571231998,9848.788190174611
9848.788190174611,9873.60180911723
9873.60180911723,9898.415428059843
9898.415428059843,9923.22904700246
9923.22904700246,9948.042665945075
9948.042665945075,9972.856284887692
9972.856284887692,9997.669903830307
9997.669903830307,10022.483522772924
10022.483522772924,10047.29714171554
10047.29714171554,10072.110760658155
10072.110760658155,10096.92437960077
10096.92437960077,10121.737998543384
10121.737998543384,10146.551617486002
10146.551617486002,10171.365236428615
10171.365236428615,10196.178855371232
10196.178855371232,10220.992474313847
10220.992474313847,10245.806093256464
10245.806093256464,10270.619712199079
10270.619712199079,10295.433331141696
10295.433331141696,10320.246950084309
10320.246950084309,10345.060569026926
10345.060569026926,10369.874187969543
10369.874187969543,10394.687806912158
10394.687806912158,10419.501425854773
10419.501425854773,10444.31504479739
10444.31504479739,10469.128663740004
10469.128663740004,10493.942282682621
10493.942282682621,10518.755901625236
10518.755901625236,10543.569520567851
10543.569520567851,10568.383139510468
10568.383139510468,10593.196758453083
10593.196758453083,10618.010377395698
10618.010377395698,10642.823996338315
10642.823996338315,10667.63761528093
10667.63761528093,10692.451234223543
10692.451234223543,10717.264853166162
10717.264853166162,10742.078472108775
10742.078472108775,10766.892091051392
10766.892091051392,10791.705709994008
10791.705709994008,10816.519328936623
10816.519328936623,10841.33294787924
10841.33294787924,10866.146566821855
10866.146566821855,10890.96018576447
10890.96018576447,10915.773804707083
10915.773804707083,10940.587423649702
10940.587423649702,10965.401042592315
10965.401042592315,10990.214661534934
10990.214661534934,11015.028280477549
11015.028280477549,11039.841899420164
11039.841899420164,11064.65551836278
11064.65551836278,11089.469137305396
11089.469137305396,11114.28275624801
11114.28275624801,11139.096375190627
11139.096375190627,11163.909994133242
11163.909994133242,11188.723613075857
11188.723613075857,11213.537232018474
11213.537232018474,11238.350850961091
11238.350850961091,11276.6766702405
11276.6766702405,11322.880689472231
11322.880689472231,11369.084708703962
11369.084708703962,11415.288727935696
11415.288727935696,11461.492747167424
11461.492747167424,11507.696766399155
11507.696766399155,11553.900785630884
11553.900785630884,11600.104804862618
11600.104804862618,11646.308824094349
11646.308824094349,11692.51284332608
11692.51284332608,11738.716862557807
11738.716862557807,11784.920881789541
11784.920881789541,11831.124901021269
11831.124901021269,11877.328920253003
11877.328920253003,11923.532939484732
11923.532939484732,11969.736958716465
11969.736958716465,12015.940977948194
12015.940977948194,12062.144997179928
12062.144997179928,12108.349016411656
12108.349016411656,12154.553035643388
12154.553035643388,12200.757054875117
12200.757054875117,12246.96107410685
12246.96107410685,12293.165093338579
12293.165093338579,12339.369112570312
12339.369112570312,12385.573131802043
12385.573131802043,12431.777151033772
12431.777151033772,12477.981170265506
12477.981170265506,12524.185189497237
12524.185189497237,12570.389208728968
12570.389208728968,12616.593227960695
12616.593227960695,12662.79724719243
12662.79724719243,12709.00126642416
12709.00126642416,12755.205285655891
12755.205285655891,12801.40930488762
12801.40930488762,12847.613324119353
12847.613324119353,12893.817343351082
12893.817343351082,12940.021362582815
12940.021362582815,12986.225381814544
12986.225381814544,13032.429401046276
13032.429401046276,13078.633420278004
13078.633420278004,13124.837439509738
13124.837439509738,13171.041458741467
13171.041458741467,13217.245477973202
13217.245477973202,13263.449497204929
13263.449497204929,13309.65351643666
13309.65351643666,13355.85753566839
13355.85753566839,13402.061554900125
13402.061554900125,13448.265574131852
13448.265574131852,13494.469593363585
13494.469593363585,13540.673612595318
13540.673612595318,13586.877631827048
13586.877631827048,13633.08165105878
13633.08165105878,13679.285670290508
13679.285670290508,13725.489689522241
13725.489689522241,13771.69370875397
13771.69370875397,13817.897727985703
13817.897727985703,13864.101747217432
13864.101747217432,13910.305766449164
13910.305766449164,13956.509785680892
13956.509785680892,14002.713804912626
14002.713804912626,14048.917824144355
14048.917824144355,14095.12184337609
14095.12184337609,14141.325862607815
14141.325862607815,14187.529881839551
14187.529881839551,14233.733901071279
14233.733901071279,14279.937920303013
14279.937920303013,14326.141939534742
14326.141939534742,14372.345958766473
14372.345958766473,14418.549977998204
14418.549977998204,14464.753997229936
14464.753997229936,14510.958016461665
14510.958016461665,14557.162035693396
14557.162035693396,14603.366054925127
14603.366054925127,14649.570074156858
14649.570074156858,14695.77409338859
14695.77409338859,14741.97811262032
14741.97811262032,14788.18213185205
14788.18213185205,14834.38615108378
14834.38615108378,14880.590170315516
14880.590170315516,14926.794189547243
14926.794189547243,14972.998208778978
14972.998208778978,15019.202228010703
15019.202228010703,15065.40624724244
