simbad,propid,name,pi_l,pi_f,date,ra,dec,mode,nfiles,title,bibcode,altnames,simbad,jd
GJ  4130,12181,HD189733,Deming,Drake,2011-09-10,300.1821046763,22.71005160853,WFC3 IR G141,113,,,,,2455814.5
CoRoT 101206560,12181,COROT-2,Deming,Drake,2011-09-23,291.7770674337,1.383694930761,WFC3 IR G141,825,,,,,2455827.5
XO-1,12181,XO-1,Deming,Drake,2011-09-30,240.5492604215,28.16960449972,WFC3 IR G141,129,"['infrared transmission spectroscopy of the exoplanets hd 209458b and xo-1b using the wide field camera-3 on the hubble space telescope', 'physical properties and optical-infrared transmission spectrum of the giant planet xo-1 b']","['2013ApJ...774...95D', '2018MNRAS.481.4261S']","['1SWASP J160211.83+281010.4' '2MASS J16021184+2810105' 'BD+28  2507'
 'GSC 02041-01657' 'Gaia DR1 1316708914208902528'
 'Gaia DR2 1316708918505350528' 'NAME Moldoveanu' 'SPOCS 2914'
 'TIC 236312126' 'TYC 2041-1657-1' 'XO-1']",XO-1,2455834.5
WASP-31,12473,WASP-31,Sing,David,2012-05-13,169.4388817504,-19.05479189065,WFC3 IR G141,75,"['signatures of nitrogen chemistry in hot jupiter atmospheres', 'access: confirmation of no potassium in the atmosphere of wasp-31b']","['2017ApJ...850L..15M', '2020AJ....160..230M']","['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']",WASP-31,2456060.5
TIC 346338553,12473,HAT-1C,Sing,David,2012-07-05,344.4432721017,38.67429776104,WFC3 IR G141,112,,,,,2456113.5
HD 209458,12181,HD209458,Deming,Drake,2012-09-25,330.7950216418,18.88431019268,WFC3 IR G141,126,"['a framework to combine low- and high-resolution spectroscopy for the atmospheres of transiting exoplanets', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'testing known and unknown systematics in hst/wfc3 spatial scans with the wayne simulator', 'the pyrat bay framework for exoplanet atmospheric modelling: a population study of hubble/wfc3 transmission spectra', 'jexosim 2.0: end-to-end jwst simulator for exoplanet spectroscopy - implementation and case studies', 'infrared transmission spectroscopy of the exoplanets hd 209458b and xo-1b using the wide field camera-3 on the hubble space telescope', 'no thermal inversion and a solar water abundance for the hot jupiter hd 209458b from hst/wfc3 spectroscopy', 'the prevalence of dust on the exoplanet hd 189733b from hubble and spitzer observations', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'wayne—a simulator for hst  wfc3 ir grism spectroscopy', 'overcast on osiris: 3d radiative-hydrodynamical simulations of a cloudy hot jupiter using the parametrized, phase-equilibrium cloud formation code eddysed', 'signatures of nitrogen chemistry in hot jupiter atmospheres', 'hydra-h: simultaneous hybrid retrieval of exoplanetary emission spectra', 'atmospheric circulation of hot jupiters and super earths']","['2017ApJ...839L...2B', '2019MNRAS.489..941P', '2019arXiv190801692T', '2021MNRAS.505.2675C', '2021MNRAS.508..433S', '2013ApJ...774...95D', '2016AJ....152..203L', '2013MNRAS.432.2917P', '2015ApJ...801...86K', '2017ApJS..231...13V', '2019MNRAS.488.1332L', '2017ApJ...850L..15M', '2019AJ....158..228G', '2014PhDT.......416K']","['2MASS J22031077+1853036' 'AG+18 2243' 'AGKR 19726' 'BD+18  4917'
 'GEN# +1.00209458' 'GSC 01688-01821' 'Gaia DR1 1779546753373081600'
 'Gaia DR2 1779546757669063552' 'HD 209458' 'HIC 108859' 'HIP 108859'
 'PPM 141002' 'SAO 107623' 'SKY# 42008' 'SPOCS  953' 'TIC 420814525'
 'TYC 1688-1821-1' 'V* V376 Pe' 'YZ  18  9012' 'uvby98 100209458']",HD 209458,2456195.5
HAT-P-11,12449,HAT-P-11,Deming,Drake,2012-12-16,297.7096020075,48.08110998868,WFC3 IR G141,214,"['detection of helium in the atmosphere of the exo-neptune hat-p-11b', 'diagnosing clouds and hazes in exoplanet atmospheres', 'the influence of nonuniform cloud cover on transit transmission spectra']","['2018ApJ...868L..34M', '2015PhDT........66F', '2016ApJ...820...78L']","['2MASS J19505021+4804508' 'ASCC  346382' 'BD+47  2936' 'G 208-41'
 'GSC 03561-02092' 'Gaia DR1 2086512223550151936'
 'Gaia DR2 2086512227851023872' 'HAT-P-11' 'HIC  97657' 'HIP  97657'
 'KIC 10748390' 'KOI-3' 'Kepler-3' 'LSPM J1950+4804' 'NLTT 48335'
 'SPOCS 4127' 'TIC 28230919' 'TYC 3561-2092-1' 'USNO-B1.0 1380-00392296'
 'WISEA J195050.38+480453.5']",HAT-P-11,2456277.5
GJ   436,11622,GJ-436,Knutson,Heather,2013-01-02,175.5494900896,26.70365716946,WFC3 IR G141,480,"['a hubble space telescope search for a sub-earth-sized exoplanet in the gj 436 system', 'forward and inverse modeling of the emission and transmission spectrum of gj 436b: investigating metal enrichment, tidal heating, and clouds']","['2014ApJ...796...32S', '2017AJ....153...86M']","['1RXS J114211.9+264328' '2MASS J11421096+2642251' 'AC +27 28217'
 'ASCC  683818' 'BPS BS 15625-0002' 'CSI+26-11395' 'CSI+27-11394'
 'CSI+27-11395' 'G 120-68' 'G 121-7' 'G 147-68' 'GCRV  7104'
 'GEN# +9.80120068' 'GJ   436' 'Gaia DR1 4017861056947245696'
 'Gaia DR2 4017860992519744384' 'HIC  57087' 'HIP  57087'
 'Karmn J11421+267' 'LFT  838' 'LHS   310' 'LP  319-75' 'LSPM J1142+2642'
 'LTT 13213' 'MCC 616' 'NLTT 28288' 'PLX 2704.1' 'PLX 2704.10'
 'PM 11395+2700' 'PM J11421+2642' 'Ross  905' 'StKM 2-754' 'TIC 138819293'
 'TYC 1984-2613-1' 'UCAC2  41198281' 'UCAC4 584-046777'
 'USNO-B1.0 1167-00204205' 'VVO 171' 'WEB 10275'
 'WISEA J114211.79+264215.1' 'Zkh 164' '[RHG95]  1830']",GJ   436,2456294.5
WASP-33,12495,WASP-33,Deming,Drake,2013-01-14,36.71274430429,37.5504669569,WFC3 IR G141,240,"['estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'spectroscopic evidence for a temperature inversion in the dayside atmosphere of hot jupiter wasp-33b', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context']","['2019MNRAS.489..941P', '2015ApJ...806..146H', '2018A&A...617A.110P']","['1SWASP J022651.05+373301.7' '2MASS J02265106+3733017' 'AG+37  282'
 'BD+36   489' 'GEN# +1.00015082' 'GPM  36.712745+37.550502' 'GPM1  84'
 'GSC 02831-00594' 'Gaia DR1 328636019723252096'
 'Gaia DR2 328636019723252096' 'HD  15082' 'HIC  11397' 'HIP  11397'
 'PPM  67341' 'Pul -3  190002' 'Renson 3750' 'SAO  55561' 'TD1  1417'
 'TIC 129979528' 'TYC 2831-594-1' 'WASP-33' 'uvby98 100015082']",WASP-33,2456306.5
GJ  3470,13064,GJ-3470,Ehrenreich,David,2013-02-07,119.7737937212,15.39133833283,WFC3 IR G141,360,['near-infrared transmission spectrum of the warm-uranus gj 3470b with the wide field camera-3 on the hubble space telescope'],['2014A&A...570A..89E'],"['2MASS J07590587+1523294' 'Cl* Melotte   25    EGG      29' 'GJ  3470'
 'Gaia DR2 654687847820642560' 'Karmn J07590+153' 'LP  424-4'
 'LSPM J0759+1523' 'NLTT 18739' 'PM J07590+1523' 'TIC 19028197'
 'UCAC4 527-044913' 'USNO-B1.0 1053-00160863' '[RHG95]  1255']",GJ  3470,2456330.5
GJ  4130,12881,HD189733,McCullough,Peter,2013-06-24,300.1821256316,22.70993440508,WFC3 IR G141,320,,,,,2456467.5
GJ  1214,13021,GJ-1214,Bean,Jacob,2013-08-20,258.8310290207,4.96125173171,WFC3 IR G141,1145,"['atmospheric circulation of hot jupiters and super earths', 'diagnosing clouds and hazes in exoplanet atmospheres']","['2014PhDT.......416K', '2015PhDT........66F']","['** GJ 1214A' '2MASS J17151894+0457496' 'G 139-21' 'GEN# +9.80139021'
 'GJ  1214' 'Gaia DR2 4393265392167891712' 'LHS  3275' 'LSPM J1715+0457'
 'NLTT 44431' 'PLX 3913.01' 'PM J17153+0457' 'TIC 467929202'
 'UBV M  53793' 'UCAC4 475-063069' 'USNO 256' 'USNO-B1.0 0949-00280047'
 'WDS J17153+0458A' 'WISEA J171519.33+045742.2' '[RHG95]  2724']",GJ  1214,2456524.5
HAT-P-17,12956,HAT-P-17,Huitson,Catherine,2013-11-24,324.5360376165,30.48824599816,WFC3 IR G141,100,"['hubble pancet: an isothermal day-side atmosphere for the bloated gas-giant hat-p-32ab', 'the hubble pancet program: a metal-rich atmosphere for the inflated hot jupiter hat-p-41b']","['2018MNRAS.474.1705N', '2021AJ....161...51S']","['2MASS J21380873+3029193' 'AG+30 2390' 'CSI+30-21359' 'GSC 02717-00417'
 'Gaia DR1 1849786476735149312' 'Gaia DR2 1849786481031300608' 'HAT-P-17'
 'PPM  86827' 'TIC 266593143' 'TYC 2717-417-1' 'UCAC2  42502612'
 'UCAC3 241-286689']",HAT-P-17,2456620.5
WASP-43,13467,WASP-43,Bean,Jacob,2013-12-05,154.9083666667,-9.806275,WFC3 IR G141,1139,"['the impact of non-uniform thermal structure on the interpretation of exoplanet emission spectra', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'aluminium oxide in the atmosphere of hot jupiter wasp-43b', '2.5d retrieval of atmospheric properties from exoplanet phase curves: application to wasp-43b observations', 'access: a visual to near-infrared spectrum of the hot jupiter wasp-43b with evidence of h<sub>2</sub>o, but no evidence of na or k', 'the dark world: a tale of wasp-43b in reflected light with hst wfc3/uvis', 'atmospheric circulation of hot jupiters and super earths']","['2016ApJ...829...52F', '2019MNRAS.489..941P', '2015ApJ...801...86K', '2020A&A...639A...3C', '2020MNRAS.493..106I', '2020AJ....159...13W', '2021AJ....161..269F', '2014PhDT.......416K']","['2MASS J10193800-0948225' 'DENIS J101938.0-094822' 'GSC 05490-00141'
 'Gaia DR2 3767805209112436736' 'TIC 36734222' 'UCAC2  28372759'
 'UCAC3 161-111847' 'WASP-43']",WASP-43,2456631.5
GJ  3651,13501,HD-97658,Knutson,Heather,2014-01-08,168.6377160469,25.710576247,WFC3 IR G141,423,,,,,2456665.5
HD 165459,13573,HD-165459,Long,Knox,2014-01-09,270.6279899674,58.62735726998,WFC3 IR G141,345,,,,,2456666.5
WASP-12,13467,WASP-12,Bean,Jacob,2014-03-04,97.63664166667,29.67230277778,WFC3 IR G141,724,"['exoplanet transit spectroscopy using wfc3: wasp-12 b, wasp-17 b, and wasp-19 b', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'transmission spectroscopy of the hot jupiter wasp-12b from 0.7 to 5 μm', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context', 'probing the extreme planetary atmosphere of wasp-12b', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the complete transmission spectrum of wasp-39b with a precise water constraint', 'a photochemical model for the carbon-rich planet wasp-12b', 'a new approach to spectroscopic phase curves. the emission spectrum of wasp-12b observed in quadrature with hst/wfc3']","['2013ApJ...779..128M', '2015ApJ...801...86K', '2014AJ....147..161S', '2018A&A...617A.110P', '2013Icar..225..432S', '2019MNRAS.489..941P', '2018AJ....155...29W', '2012ApJ...745...77K', '2021A&A...646A..94A']","['2MASS J06303279+2940202' 'Gaia DR1 3435282862461427072'
 'Gaia DR2 3435282862461427072' 'NAME Bergfors-6' 'SPOCS 2670'
 'TIC 86396382' 'TYC 1891-1178-1' 'UCAC2  42216354' 'WASP-12']",WASP-12,2456720.5
WASP-18,13467,WASP-18,Bean,Jacob,2014-08-27,24.35430875,-45.67788611111,WFC3 IR G141,671,"['estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3', 'h- and dissociation in ultra-hot jupiters: a retrieval case study of wasp-18b', 'secondary eclipses of wasp-18b - near-infrared observations with the anglo-australian telescope, the magellan clay telescope and the lcogt network', 'atmospheric characterization of giant exoplanets in extreme environments']","['2019MNRAS.489..941P', '2019A&A...625A.136A', '2020AJ....159..232G', '2019MNRAS.483.5110K', '2017PhDT.......144W']","['2MASS J01372503-4540404' 'CD-46   449' 'CPC  0   759' 'CPD-46   168'
 'GEN# +1.00010069' 'GSC 08040-00072' 'Gaia DR1 4955371363037611136'
 'Gaia DR2 4955371367334610048' 'HD  10069' 'HIC   7562' 'HIP   7562'
 'PPM 306061' 'RAVE J013725.0-454040' 'SAO 215585' 'SPOCS 2511'
 'TIC 100100827' 'TOI-185' 'TYC 8040-72-1' 'UBV    1689' 'WASP-18'
 'WASP-18A' '[CS62] E1  13']",WASP-18,2456896.5
HD 165459,13625,HD-165459,Long,Knox,2014-09-04,270.6279925114,58.62736553227,WFC3 IR G141,122,,,,,2456904.5
HD 209458,13467,HD-209458,Bean,Jacob,2014-12-31,330.79488375,18.88431666667,WFC3 IR G141,1100,"['a framework to combine low- and high-resolution spectroscopy for the atmospheres of transiting exoplanets', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'testing known and unknown systematics in hst/wfc3 spatial scans with the wayne simulator', 'the pyrat bay framework for exoplanet atmospheric modelling: a population study of hubble/wfc3 transmission spectra', 'jexosim 2.0: end-to-end jwst simulator for exoplanet spectroscopy - implementation and case studies', 'infrared transmission spectroscopy of the exoplanets hd 209458b and xo-1b using the wide field camera-3 on the hubble space telescope', 'no thermal inversion and a solar water abundance for the hot jupiter hd 209458b from hst/wfc3 spectroscopy', 'the prevalence of dust on the exoplanet hd 189733b from hubble and spitzer observations', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'wayne—a simulator for hst  wfc3 ir grism spectroscopy', 'overcast on osiris: 3d radiative-hydrodynamical simulations of a cloudy hot jupiter using the parametrized, phase-equilibrium cloud formation code eddysed', 'signatures of nitrogen chemistry in hot jupiter atmospheres', 'hydra-h: simultaneous hybrid retrieval of exoplanetary emission spectra', 'atmospheric circulation of hot jupiters and super earths']","['2017ApJ...839L...2B', '2019MNRAS.489..941P', '2019arXiv190801692T', '2021MNRAS.505.2675C', '2021MNRAS.508..433S', '2013ApJ...774...95D', '2016AJ....152..203L', '2013MNRAS.432.2917P', '2015ApJ...801...86K', '2017ApJS..231...13V', '2019MNRAS.488.1332L', '2017ApJ...850L..15M', '2019AJ....158..228G', '2014PhDT.......416K']","['2MASS J22031077+1853036' 'AG+18 2243' 'AGKR 19726' 'BD+18  4917'
 'GEN# +1.00209458' 'GSC 01688-01821' 'Gaia DR1 1779546753373081600'
 'Gaia DR2 1779546757669063552' 'HD 209458' 'HIC 108859' 'HIP 108859'
 'PPM 141002' 'SAO 107623' 'SKY# 42008' 'SPOCS  953' 'TIC 420814525'
 'TYC 1688-1821-1' 'V* V376 Pe' 'YZ  18  9012' 'uvby98 100209458']",HD 209458,2457022.5
WASP-103,13660,2MASS-J16371556+0711000,Zhao,Ming,2015-06-17,249.3148666667,7.183352777778,WFC3 IR G141,238,"['high-precision multiwavelength eclipse photometry of the ultra-hot gas giant exoplanet wasp-103 b', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'ground-based transmission spectroscopy with fors2: a featureless optical transmission spectrum and detection of h<sub>2</sub>o for the ultra-hot jupiter wasp-103b', 'global climate and atmospheric composition of the ultra-hot jupiter wasp-103b from hst and spitzer phase curve observations', 'climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3']","['2018MNRAS.474.2334D', '2019MNRAS.489..941P', '2020MNRAS.497.5155W', '2018AJ....156...17K', '2019A&A...625A.136A']","['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']",WASP-103,2457190.5
WASP-103,14050,2MASS-J16371556+0711000,Kreidberg,Laura,2015-08-03,249.3148666667,7.183352777778,WFC3 IR G141,536,"['high-precision multiwavelength eclipse photometry of the ultra-hot gas giant exoplanet wasp-103 b', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'ground-based transmission spectroscopy with fors2: a featureless optical transmission spectrum and detection of h<sub>2</sub>o for the ultra-hot jupiter wasp-103b', 'global climate and atmospheric composition of the ultra-hot jupiter wasp-103b from hst and spitzer phase curve observations', 'climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3']","['2018MNRAS.474.2334D', '2019MNRAS.489..941P', '2020MNRAS.497.5155W', '2018AJ....156...17K', '2019A&A...625A.136A']","['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']",WASP-103,2457237.5
Kepler-138,13665,KEPLER-138,Benneke,Bjorn,2015-10-17,290.3815606055,43.2931200584,WFC3 IR G141,266,,,,,2457312.5
GJ  3470,13665,GJ-3470,Benneke,Bjoern,2015-10-22,119.7736961513,15.39130946159,WFC3 IR G141,228,['near-infrared transmission spectrum of the warm-uranus gj 3470b with the wide field camera-3 on the hubble space telescope'],['2014A&A...570A..89E'],"['2MASS J07590587+1523294' 'Cl* Melotte   25    EGG      29' 'GJ  3470'
 'Gaia DR2 654687847820642560' 'Karmn J07590+153' 'LP  424-4'
 'LSPM J0759+1523' 'NLTT 18739' 'PM J07590+1523' 'TIC 19028197'
 'UCAC4 527-044913' 'USNO-B1.0 1053-00160863' '[RHG95]  1255']",GJ  3470,2457317.5
HAT-P-18,14099,HAT-P-18,Mikal-Evans,Thomas,2015-10-30,256.3463508215,33.01229733517,WFC3 IR G141,99,"['estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'atmospheric characterization of giant exoplanets in extreme environments']","['2019MNRAS.489..941P', '2017PhDT.......144W']","['2MASS J17052315+3300450' 'GSC 02594-00646'
 'Gaia DR2 1334573817793362560' 'HAT-P-18' 'SPOCS 3268' 'TIC 21744120'
 'UCAC2  43456357' 'UCAC3 247-120011']",HAT-P-18,2457325.5
WASP-76,14260,WASP-76,Deming,Drake,2015-11-26,26.63315939135,2.700302441588,WFC3 IR G141,93,"['ares i: wasp-76 b, a tale of two hst spectra', 'a population study of gaseous exoplanets']","['2020AJ....160....8E', '2018AJ....155..156T']","['1SWASP J014631.86+024202.0' '2MASS J01463185+0242019' 'AG+02  184'
 'BD+01   316' 'GSC 00032-00111' 'Gaia DR2 2512326349403275520'
 'PPM 144970' 'SAO 110122' 'TIC 293435336' 'TYC   32-111-1' 'WASP-76'
 'YZ   2   503']",WASP-76,2457352.5
GJ   324 A,13665,55-CANCRI,Benneke,Bjorn,2015-12-13,133.1468194471,28.32978915069,WFC3 IR G141,282,"['computations of the viscoelastic response of a 3-d compressible earth to surface loading: an application to glacial isostatic adjustment in antarctica and canada', 'a reconciled estimate of ice-sheet mass balance', 'isotopic composition of precipitation in italy: a first overall map', 'holoviz/panel: version 0.11.0', 'jpfairbanks/semanticmodels.jl: release v0.3.0', 'a global model: empirical orthogonal function analysis of total electron content 1999-2009 data', 'analyzing the hemispheric asymmetry in the thermospheric density response to geomagnetic storms', 'extraction of the gluon density of the proton at x', 'spatio-temporal variation of vegetation coverage and its response to climate change in north china plain in the last 33 years', 'fiber bragg grating period reconstruction using time-frequency signal analysis and application to distributed sensing', 'riverine export and the effects of circulation on dissolved organic carbon in the hudson bay system, canada', 'spatial variation of correlations between vertical soil water and evapotranspiration and their controlling factors in a semi-arid region', 'a global gridded dataset of grace drought severity index for 2002-14: comparison with pdsi and spei and a case study of the australia millennium drought', 'the effects of laterally varying icy shell structure on the tidal response of ganymede and europa', 'expansion in the width and collective dynamics of a domain wall', 'late mesozoic-cenozoic evolution of the sanjiang basin in ne china and its tectonic implications for the west pacific continental margin', 'nonlinearly realized local scale invariance: gravity and matter', 'entropy squeezing and atomic inversion in the k-photon jaynes—cummings model in the presence of the stark shift and a kerr medium: a full nonlinear approach', 'derepression of ethylene-stabilized transcription factors (ein3/eil1) mediates jasmonate and ethylene signaling synergy in arabidopsis', 'clay mineralogy of the nickel laterite ore developed from serpentinised peridotites at murrin murrin, western australia', 'collective band structures in the neutron-rich <sup>107,109</sup>ru nuclei', 'reflection asymmetric shapes in the neutron-rich <sup>140,143</sup>ba isotopes', 'deformed photon-added entangled squeezed vacuum and one-photon states: entanglement, polarization, and nonclassical properties', 'synthesis of thin bundled single walled carbon nanotubes and nanohorn hybrids by arc discharge technique in open air atmosphere', 'the results of extirpation of the anterior lobe of the hypophysis and of the thyroid of rana pipiens larvae', 'impact of changes in grace derived terrestrial water storage on vegetation growth in eurasia', '5 years of gps observations of the afar triplejunction area', 'activated carbon nanospheres derived from bio-waste materials for supercapacitor applications – a review', 'satellite-observed changes in vegetation sensitivities to surface soil moisture and total water storage variations since the 2011 texas drought', 'single-step absorption and phase retrieval with polychromatic x rays using a spectral detector', 'flow and heat transfer of a nanofluid over a hyperbolically stretching sheet', 'nature and origin of the submarine albany canyons off southwest australia', 'spectral absorption coefficient of photosynthetically active pigments in the equatorial pacific ocean (165°11 150°w)', 'a benchmark study of numerical implementations of the sea level equation in gia modelling', 'observation of negative line tensions from plateau border regions in dry foam films', 'vertical variations of soil water and its controlling factors based on the structural equation model in a semi-arid grassland', 'some continuous analogs of expansion in jacobi polynomials and vector valued hypergeometric orthogonal bases', 'a new standard of light', 'removal of phenol, bisphenol a, and 4-tert-butylphenol from synthetic landfill leachate by vertical flow constructed wetlands', 'detrital zircon u-pb geochronology and stratigraphy of the cretaceous sanjiang basin in ne china: provenance record of an abrupt tectonic switch in the mode and nature of the ne asian continental margin evolution', 'powerful quasi-steady-state plasma accelerator for fusion experiments', 'controls of carbon flux in a semi-arid grassland ecosystem experiencing wetland loss: vegetation patterns and environmental variables', 'importance of uniaxial compression for the appearance of superconductivity in ndo<sub>1-x</sub>f<sub>x</sub>bis<sub>2</sub>', 'satellite detection of varying seasonal water supply restrictions on grassland productivity in the missouri basin, usa', 'stratification response of soil water content during rainfall events under different rainfall patterns', 'polydopamine nanotube mediated fluorescent biosensor for hg(ii) determination through exonuclease iii-assisted signal amplification', 'growth and characterization of zno multipods on functional surfaces with different sizes and shapes of ag particles', 'removal of heavy metals from synthetic landfill leachate in lab-scale vertical flow constructed wetlands', 'maximum spin aligned states in <sup>98</sup> <sub>47</sub>ag<sub>51</sub>', 'privacy guidelines for contact tracing applications']","['2013GeoJI.192..557A', '2012Sci...338.1183S', '2003JHyd..270...75A', '2021zndo...4573728R', '2020zndo...3800254J', '2012JGRA..117.3328A', '2012JGRA..117.8317A', '1995PhLB..345..576D', '2016IJAEO..53..103A', '2001JLwT...19..646A', '2010LimOc..55..315A', '2019JHyd..574...53A', '2017JHyMe..18.2117Z', '2014JGRE..119..659A', '1998NuPhB.509..273A', '2012JAESc..49..287Z', '2004PhLB..584..133D', '2014ChPhB..23g4203H', '2011PNAS..10812539Z', '2005AuJES..52..231A', '1998ChPhL..15..793Z', '1997ChPhL..14..569Z', '2016ChPhB..25d0303A', '2015DRM....55...12A', '1916Sci....44..755A', '2015ERL....10l4024A', '1999JGeo...28..225A', '2015RSCAd...588339A', '2017ERL....12e4006A', '2013OptL...38.1461G', '2014ChPhB..23g4401A', '2005AuJES..52..101N', '1997DSRII..44.1881D', '2018GeoJI.215..389M', '2004PMagL..84..199G', '2019ScTEn.691.1016A', '2003math......9445A', '1879Natur..21..158A', '2017ScTEn.578..566A', '2015Tectp.665...58Z', '2002BrJPh..32..165T', '2018AgFM..259..196F', '2014JPhCS.507a2033A', '2020RSEnv.239k1623A', '2018HyPr...32.3128A', '2018Ana...143.2623A', '2013ChPhB..22h8103A', '2017ScTEn.584..742A', '1998EPJA....1....7C', '2020arXiv200413328S']","['*  55 Cn' '* rho Cn' '* rho01 Cn' '** LDS 6219A'
 '2MASS J08523579+2819509' 'AG+28  954' 'AKARI-IRC-V1 J0852355+281949'
 'ASCC  678466' 'BD+28  1660' 'BD+28  1660A' 'CSI+28  1660  1'
 'Ci 20  494' 'GC 12244' 'GCRV  5843' 'GEN# +1.00075732A' 'GJ   324 A'
 'Gaia DR2 704967037090946688' 'HD  75732' 'HIC  43587' 'HIP  43587'
 'HR  3522' 'IRAS 08496+2831' 'JP11  1727' 'LFT  609' 'LHS  2062'
 'LSPM J0852+2819' 'LTT 12310' 'N30 2085' 'NAME Copernicus' 'NLTT 20414'
 'PLX 2117' 'PM 08496+2831' 'PM 08496+2831A' 'PPM  99117' 'SAO  80478'
 'SKY# 17095' 'SPOCS  407' 'TIC 332064670' 'TYC 1949-2012-1' 'UBV    8589'
 'UBV M  14808' 'USNO-B1.0 1183-00181854' 'WDS J08526+2820A' 'WEB  8400'
 'WISEA J085235.41+281948.5' 'YPAC 155' 'YZ  28  4722' '[B10]  2380'
 'uvby98 100075732 A']",GJ   324 A,2457369.5
XO-2,13653,XO-2,Griffith,Caitlin,2016-01-06,117.0288239923,50.2210539995,WFC3 IR G141,87,,,,,2457393.5
HAT-P-32,14260,HAT-P-32,Deming,Drake,2016-01-21,31.04275336453,46.68785384974,WFC3 IR G141,90,"['near-ir transmission spectrum of hat-p-32b using hst/wfc3', 'hubble pancet: an isothermal day-side atmosphere for the bloated gas-giant hat-p-32ab']","['2017AJ....154...39D', '2018MNRAS.474.1705N']","['2MASS J02041028+4641162' 'GSC 03281-00800' 'Gaia DR1 356348282588373888'
 'Gaia DR2 356348286886230272' 'HAT-P-32' 'TIC 292152376' 'TYC 3281-800-1'
 'UCAC2  47486078' 'UCAC3 274-27296']",HAT-P-32,2457408.5
WASP-121,14468,WASP-121,Mikal-Evans,Thomas,2016-02-06,107.6002220749,-39.0972466478,WFC3 IR G141,85,"['a population study of gaseous exoplanets', 'hot exoplanet atmospheres resolved with transit spectroscopy (hearts). iv. a spectral inventory of atoms and molecules in the high-resolution transmission spectrum of wasp-121 b', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context']","['2018AJ....155..156T', '2020A&A...641A.123H', '2018A&A...617A.110P']","['1SWASP J071024.05-390550.5' '2MASS J07102406-3905506' 'CD-38  3220'
 'Gaia DR1 5565050251402363648' 'Gaia DR2 5565050255701441664'
 'TIC 22529346' 'TOI-495' 'TYC 7630-352-1' 'WASP-121']",WASP-121,2457424.5
HATS-7,14260,HATS-7,Deming,Drake,2016-03-20,208.8567908868,-21.20786193091,WFC3 IR G141,80,['atmospheric characterization of giant exoplanets in extreme environments'],['2017PhDT.......144W'],"['2MASS J13552567-2112276' 'GALAH 160513002101242' 'GSC 06148-00422'
 'Gaia DR2 6288858347945925504' 'HATS-7' 'TIC 220029715']",HATS-7,2457467.5
HD 149026,14260,HD-149026,Deming,Drake,2016-04-03,247.6229775233,38.34754520847,WFC3 IR G141,119,['atmospheric characterization of giant exoplanets in extreme environments'],['2017PhDT.......144W'],"['2MASS J16302962+3820503' 'AG+38 1492' 'AGKR 14732' 'BD+38  2787'
 'GEN# +1.00149026' 'GSC 03063-01587' 'Gaia DR1 1331356470675113344'
 'Gaia DR2 1331356474971716992' 'HD 149026' 'HIC  80838' 'HIP  80838'
 'NAME Ogma' 'PPM  79381' 'SAO  65349' 'SPOCS 2931' 'TIC 255930614'
 'TYC 3063-1587-1' 'uvby98 100149026']",HD 149026,2457481.5
